age,hours_per_week,income,workclass,education
4,40,Below-50K,empl-unknown,HS-grad
3,18,Below-50K,govt-employed,HS-grad
1,40,Below-50K,empl-unknown,Some-College
0,40,Below-50K,govt-employed,Below-HS
0,40,Below-50K,govt-employed,Some-College
0,45,Below-50K,govt-employed,HS-grad
0,40,Below-50K,govt-employed,Below-HS
2,20,Above-50K,govt-employed,Doctorate
1,40,Below-50K,govt-employed,HS-grad
0,60,Above-50K,govt-employed,Some-College
0,35,Above-50K,govt-employed,Doctorate
0,45,Above-50K,unemployed,Masters-or-equivalent
0,20,Above-50K,govt-employed,Bachelors
0,55,Above-50K,govt-employed,Masters-or-equivalent
0,40,Above-50K,empl-unknown,Doctorate
0,40,Above-50K,govt-employed,Masters-or-equivalent
0,76,Above-50K,govt-employed,Below-HS
0,50,Above-50K,govt-employed,Masters-or-equivalent
0,40,Above-50K,govt-employed,Some-College
0,50,Above-50K,govt-employed,Bachelors
0,40,Above-50K,govt-employed,Bachelors
0,42,Below-50K,govt-employed,Below-HS
0,25,Below-50K,govt-employed,HS-grad
0,40,Below-50K,govt-employed,Some-College
0,32,Below-50K,empl-unknown,HS-grad
0,40,Below-50K,govt-employed,Some-College
0,32,Below-50K,govt-employed,Below-HS
0,40,Below-50K,govt-employed,Below-HS
0,50,Above-50K,self-employed,Below-HS
0,90,Above-50K,govt-employed,Below-HS
0,40,Above-50K,govt-employed,Some-College
0,50,Above-50K,self-employed,Below-HS
0,60,Above-50K,govt-employed,Masters-or-equivalent
0,50,Above-50K,govt-employed,Bachelors
0,50,Above-50K,unemployed,HS-grad
1,60,Above-50K,govt-employed,Doctorate
0,48,Above-50K,govt-employed,HS-grad
0,50,Above-50K,govt-employed,Masters-or-equivalent
0,60,Above-50K,unemployed,Doctorate
0,40,Above-50K,govt-employed,Masters-or-equivalent
0,50,Above-50K,govt-employed,Bachelors
0,40,Above-50K,govt-employed,Masters-or-equivalent
0,40,Above-50K,govt-employed,Some-College
0,40,Above-50K,govt-employed,Masters-or-equivalent
2,15,Below-50K,empl-unknown,HS-grad
0,70,Above-50K,govt-employed,Bachelors
2,52,Below-50K,govt-employed,HS-grad
2,40,Below-50K,unemployed,HS-grad
1,40,Below-50K,empl-unknown,Some-College
1,40,Below-50K,empl-unknown,Some-College
0,45,Above-50K,unemployed,Masters-or-equivalent
0,72,Above-50K,govt-employed,HS-grad
0,39,Above-50K,govt-employed,Some-College
0,40,Above-50K,govt-employed,Some-College
0,45,Above-50K,govt-employed,Masters-or-equivalent
0,50,Above-50K,govt-employed,Bachelors
0,45,Above-50K,govt-employed,Some-College
0,40,Above-50K,govt-employed,Some-College
0,45,Above-50K,govt-employed,Bachelors
0,42,Above-50K,govt-employed,Some-College
0,70,Above-50K,govt-employed,Some-College
0,40,Above-50K,self-employed,Below-HS
0,6,Above-50K,govt-employed,Some-College
0,40,Above-50K,unemployed,Bachelors
0,40,Above-50K,govt-employed,Masters-or-equivalent
0,70,Above-50K,self-employed,Some-College
0,60,Above-50K,govt-employed,Masters-or-equivalent
0,35,Above-50K,self-employed,Masters-or-equivalent
0,60,Above-50K,self-employed,Bachelors
0,60,Above-50K,self-employed,Masters-or-equivalent
0,55,Above-50K,govt-employed,Bachelors
0,50,Above-50K,unemployed,HS-grad
0,45,Above-50K,govt-employed,Masters-or-equivalent
0,50,Above-50K,self-employed,Bachelors
0,65,Above-50K,govt-employed,Masters-or-equivalent
0,60,Above-50K,govt-employed,Bachelors
0,12,Above-50K,empl-unknown,Some-College
0,65,Above-50K,govt-employed,Masters-or-equivalent
0,45,Above-50K,govt-employed,Masters-or-equivalent
0,48,Above-50K,govt-employed,Bachelors
0,55,Above-50K,self-employed,Some-College
0,80,Above-50K,self-employed,Masters-or-equivalent
0,70,Above-50K,govt-employed,Masters-or-equivalent
0,40,Above-50K,unemployed,Some-College
0,50,Above-50K,self-employed,Bachelors
0,50,Above-50K,unemployed,Bachelors
0,50,Above-50K,unemployed,Masters-or-equivalent
0,55,Above-50K,govt-employed,Masters-or-equivalent
0,50,Above-50K,self-employed,Bachelors
0,55,Above-50K,self-employed,Masters-or-equivalent
0,67,Above-50K,govt-employed,Masters-or-equivalent
0,40,Above-50K,unemployed,Bachelors
0,99,Above-50K,govt-employed,Some-College
1,60,Above-50K,self-employed,Bachelors
0,40,Above-50K,unemployed,HS-grad
0,35,Above-50K,govt-employed,Bachelors
0,80,Above-50K,unemployed,Masters-or-equivalent
0,40,Above-50K,self-employed,Some-College
0,99,Above-50K,govt-employed,Masters-or-equivalent
0,45,Above-50K,govt-employed,Doctorate
0,60,Above-50K,self-employed,Masters-or-equivalent
0,55,Above-50K,govt-employed,Doctorate
0,40,Above-50K,unemployed,Bachelors
0,30,Above-50K,unemployed,Masters-or-equivalent
0,55,Above-50K,self-employed,Masters-or-equivalent
0,45,Above-50K,govt-employed,Bachelors
0,90,Above-50K,govt-employed,Masters-or-equivalent
0,50,Above-50K,govt-employed,Some-College
0,20,Above-50K,govt-employed,Bachelors
0,60,Above-50K,govt-employed,Bachelors
0,45,Above-50K,self-employed,Masters-or-equivalent
1,40,Above-50K,govt-employed,Bachelors
1,75,Above-50K,self-employed,Bachelors
2,25,Above-50K,unemployed,Doctorate
2,6,Above-50K,empl-unknown,Doctorate
0,50,Above-50K,self-employed,Masters-or-equivalent
2,40,Above-50K,self-employed,Bachelors
2,60,Above-50K,self-employed,Bachelors
3,55,Above-50K,self-employed,Bachelors
1,40,Above-50K,govt-employed,Masters-or-equivalent
0,45,Below-50K,govt-employed,Some-College
1,60,Above-50K,govt-employed,Doctorate
0,40,Above-50K,self-employed,HS-grad
0,60,Below-50K,govt-employed,HS-grad
1,12,Above-50K,unemployed,Bachelors
0,20,Below-50K,govt-employed,Some-College
0,40,Below-50K,govt-employed,Some-College
0,40,Below-50K,govt-employed,HS-grad
3,26,Above-50K,govt-employed,HS-grad
1,25,Above-50K,unemployed,Doctorate
2,45,Above-50K,govt-employed,HS-grad
1,55,Above-50K,govt-employed,Some-College
1,42,Above-50K,govt-employed,Masters-or-equivalent
1,40,Above-50K,empl-unknown,Bachelors
0,40,Below-50K,govt-employed,HS-grad
0,50,Below-50K,self-employed,Some-College
1,35,Above-50K,empl-unknown,Bachelors
0,48,Below-50K,govt-employed,Some-College
0,40,Below-50K,govt-employed,HS-grad
1,50,Above-50K,self-employed,Bachelors
0,50,Below-50K,unemployed,HS-grad
1,65,Below-50K,self-employed,HS-grad
0,45,Below-50K,govt-employed,Below-HS
0,55,Below-50K,govt-employed,Bachelors
0,40,Below-50K,govt-employed,HS-grad
0,40,Below-50K,govt-employed,Below-HS
0,40,Below-50K,govt-employed,Bachelors
0,50,Below-50K,self-employed,Some-College
0,40,Below-50K,govt-employed,Bachelors
0,35,Below-50K,govt-employed,Bachelors
0,45,Below-50K,govt-employed,Some-College
0,40,Below-50K,govt-employed,HS-grad
0,40,Below-50K,govt-employed,Some-College
0,36,Below-50K,empl-unknown,Some-College
0,60,Below-50K,unemployed,Masters-or-equivalent
0,40,Below-50K,govt-employed,HS-grad
0,40,Below-50K,govt-employed,HS-grad
0,40,Below-50K,govt-employed,Masters-or-equivalent
0,35,Below-50K,unemployed,Masters-or-equivalent
1,40,Above-50K,govt-employed,Bachelors
1,40,Below-50K,govt-employed,HS-grad
1,40,Below-50K,govt-employed,Below-HS
0,40,Below-50K,govt-employed,Masters-or-equivalent
0,40,Below-50K,govt-employed,HS-grad
0,10,Below-50K,unemployed,Some-College
0,84,Below-50K,govt-employed,HS-grad
0,40,Below-50K,unemployed,Some-College
0,48,Below-50K,govt-employed,Bachelors
0,55,Above-50K,govt-employed,Some-College
0,38,Above-50K,govt-employed,Some-College
0,45,Above-50K,govt-employed,Bachelors
0,40,Below-50K,govt-employed,Bachelors
0,42,Above-50K,govt-employed,HS-grad
0,40,Above-50K,govt-employed,Bachelors
0,45,Above-50K,govt-employed,Bachelors
0,50,Below-50K,unemployed,HS-grad
0,40,Above-50K,govt-employed,Bachelors
0,50,Below-50K,govt-employed,Masters-or-equivalent
0,42,Below-50K,govt-employed,Below-HS
0,60,Below-50K,govt-employed,Masters-or-equivalent
0,38,Above-50K,govt-employed,Some-College
0,70,Below-50K,govt-employed,HS-grad
0,40,Above-50K,govt-employed,Bachelors
0,50,Above-50K,govt-employed,Doctorate
0,60,Below-50K,self-employed,Some-College
0,62,Above-50K,govt-employed,Some-College
0,44,Above-50K,govt-employed,HS-grad
0,40,Above-50K,govt-employed,HS-grad
0,45,Above-50K,govt-employed,Bachelors
0,40,Above-50K,govt-employed,HS-grad
1,40,Above-50K,unemployed,Some-College
1,8,Above-50K,unemployed,Masters-or-equivalent
2,40,Above-50K,govt-employed,Bachelors
2,28,Above-50K,unemployed,Masters-or-equivalent
0,40,Below-50K,govt-employed,HS-grad
0,35,Below-50K,govt-employed,Below-HS
0,40,Above-50K,unemployed,Bachelors
0,40,Above-50K,govt-employed,Below-HS
0,40,Above-50K,govt-employed,Some-College
4,40,Below-50K,govt-employed,HS-grad
1,30,Below-50K,govt-employed,HS-grad
1,59,Below-50K,govt-employed,HS-grad
1,10,Below-50K,empl-unknown,HS-grad
1,5,Below-50K,govt-employed,Bachelors
1,25,Below-50K,govt-employed,Bachelors
0,24,Below-50K,govt-employed,Some-College
0,35,Below-50K,unemployed,Some-College
0,40,Below-50K,govt-employed,Some-College
0,18,Below-50K,govt-employed,Some-College
0,40,Below-50K,govt-employed,HS-grad
0,40,Below-50K,govt-employed,Some-College
0,40,Below-50K,govt-employed,Some-College
0,40,Below-50K,govt-employed,Below-HS
1,40,Below-50K,empl-unknown,HS-grad
0,60,Above-50K,self-employed,Masters-or-equivalent
1,40,Below-50K,govt-employed,Below-HS
0,40,Below-50K,govt-employed,Below-HS
0,84,Below-50K,self-employed,Some-College
0,40,Below-50K,unemployed,Below-HS
0,18,Below-50K,unemployed,Below-HS
0,40,Below-50K,govt-employed,Some-College
0,12,Below-50K,unemployed,HS-grad
0,45,Below-50K,govt-employed,HS-grad
0,40,Below-50K,govt-employed,HS-grad
0,52,Below-50K,govt-employed,Below-HS
0,40,Below-50K,govt-employed,Some-College
0,50,Below-50K,unemployed,Below-HS
1,45,Below-50K,empl-unknown,Bachelors
0,40,Below-50K,unemployed,HS-grad
0,40,Below-50K,govt-employed,Some-College
1,40,Above-50K,empl-unknown,Bachelors
1,10,Above-50K,unemployed,Some-College
1,40,Above-50K,govt-employed,HS-grad
2,50,Above-50K,unemployed,Masters-or-equivalent
1,40,Above-50K,govt-employed,HS-grad
1,40,Above-50K,govt-employed,Some-College
2,50,Above-50K,govt-employed,Some-College
0,25,Below-50K,empl-unknown,Bachelors
1,40,Below-50K,unemployed,Some-College
2,20,Below-50K,unemployed,HS-grad
0,72,Below-50K,govt-employed,Below-HS
0,55,Below-50K,unemployed,Below-HS
0,40,Below-50K,unemployed,HS-grad
0,40,Below-50K,govt-employed,Some-College
1,60,Below-50K,govt-employed,Masters-or-equivalent
0,40,Below-50K,govt-employed,HS-grad
0,60,Below-50K,unemployed,Some-College
0,40,Below-50K,govt-employed,Below-HS
0,20,Below-50K,govt-employed,HS-grad
0,40,Below-50K,govt-employed,Some-College
0,60,Below-50K,govt-employed,HS-grad
0,45,Below-50K,govt-employed,Some-College
0,40,Below-50K,govt-employed,Some-College
0,50,Below-50K,govt-employed,HS-grad
0,40,Below-50K,govt-employed,HS-grad
0,20,Below-50K,unemployed,HS-grad
0,40,Below-50K,govt-employed,Some-College
0,40,Below-50K,govt-employed,HS-grad
0,40,Below-50K,govt-employed,Some-College
0,40,Below-50K,govt-employed,Bachelors
0,57,Below-50K,govt-employed,Some-College
0,38,Below-50K,govt-employed,HS-grad
0,40,Below-50K,govt-employed,HS-grad
0,44,Below-50K,govt-employed,HS-grad
0,40,Below-50K,govt-employed,HS-grad
0,40,Below-50K,govt-employed,Some-College
0,40,Below-50K,govt-employed,HS-grad
0,55,Below-50K,govt-employed,HS-grad
0,40,Below-50K,govt-employed,HS-grad
0,40,Below-50K,govt-employed,Below-HS
0,20,Below-50K,govt-employed,HS-grad
0,40,Below-50K,govt-employed,Below-HS
0,40,Below-50K,govt-employed,Some-College
0,50,Below-50K,govt-employed,Some-College
0,40,Below-50K,govt-employed,HS-grad
0,48,Below-50K,unemployed,HS-grad
0,10,Below-50K,govt-employed,Some-College
0,40,Below-50K,govt-employed,Below-HS
0,30,Below-50K,govt-employed,Below-HS
0,34,Below-50K,govt-employed,HS-grad
0,40,Below-50K,govt-employed,HS-grad
0,45,Below-50K,govt-employed,HS-grad
0,40,Below-50K,govt-employed,Below-HS
0,40,Below-50K,govt-employed,Below-HS
0,40,Below-50K,govt-employed,Bachelors
0,40,Below-50K,unemployed,HS-grad
0,42,Below-50K,govt-employed,Some-College
0,40,Below-50K,govt-employed,Some-College
0,40,Below-50K,govt-employed,Some-College
0,50,Below-50K,govt-employed,Bachelors
0,30,Below-50K,unemployed,Bachelors
0,40,Below-50K,empl-unknown,Bachelors
0,60,Below-50K,govt-employed,HS-grad
0,40,Below-50K,govt-employed,HS-grad
0,55,Below-50K,govt-employed,Bachelors
0,40,Below-50K,govt-employed,Some-College
0,40,Below-50K,govt-employed,HS-grad
0,40,Below-50K,self-employed,HS-grad
0,40,Below-50K,govt-employed,HS-grad
0,45,Below-50K,govt-employed,HS-grad
0,45,Below-50K,unemployed,Doctorate
0,40,Below-50K,empl-unknown,HS-grad
0,42,Below-50K,govt-employed,HS-grad
0,40,Below-50K,govt-employed,HS-grad
0,60,Below-50K,govt-employed,Masters-or-equivalent
0,40,Below-50K,govt-employed,Below-HS
0,40,Below-50K,govt-employed,Bachelors
0,30,Below-50K,govt-employed,Some-College
0,40,Below-50K,govt-employed,HS-grad
0,40,Below-50K,govt-employed,HS-grad
0,40,Below-50K,empl-unknown,HS-grad
0,50,Below-50K,unemployed,Some-College
0,35,Below-50K,unemployed,HS-grad
0,50,Below-50K,govt-employed,HS-grad
0,40,Below-50K,govt-employed,Some-College
